Gender,FullName,PersonID,FaxNumber,DateOfBirth,PhoneNumber,EmailAddress,PreferredName
Female,Hue Chu,194,(787) 555-0101,1955-09-27 00:00:00,(787) 555-0100,hue@tailspintoys.com,Hue
Female,Vlasta Srbova,195,(203) 555-0101,1959-04-22 00:00:00,(203) 555-0100,vlasta@tailspintoys.com,Vlasta
Female,Gadhar Ghosh,196,(203) 555-0101,1961-10-18 00:00:00,(203) 555-0100,gadhar@tailspintoys.com,Gadhar
Female,Lata Babu,197,(405) 555-0101,1972-12-08 00:00:00,(405) 555-0100,lata@tailspintoys.com,Lata
Female,Chandra De,198,(405) 555-0101,1980-07-12 00:00:00,(405) 555-0100,chandra@tailspintoys.com,Chandra
Female,Airi Vassiljev,199,(229) 555-0101,1995-04-29 00:00:00,(229) 555-0100,airi@tailspintoys.com,Airi
Female,Hoang La,200,(229) 555-0101,1995-09-01 00:00:00,(229) 555-0100,hoang@tailspintoys.com,Hoang
Female,Duleep Walia,201,(206) 555-0101,1959-11-07 00:00:00,(206) 555-0100,duleep@tailspintoys.com,Duleep
Female,Satish Gill,202,(206) 555-0101,1982-11-17 00:00:00,(206) 555-0100,satish@tailspintoys.com,Satish
Female,Matyas Macek,203,(316) 555-0101,1997-10-01 00:00:00,(316) 555-0100,matyas@tailspintoys.com,Matyas
Female,Ethan Hopkins,204,(316) 555-0101,1970-05-03 00:00:00,(316) 555-0100,ethan@tailspintoys.com,Ethan
Female,Bharat Ankitham,205,(252) 555-0101,1991-02-22 00:00:00,(252) 555-0100,bharat@tailspintoys.com,Bharat
Female,Be Phan,206,(252) 555-0101,1975-12-15 00:00:00,(252) 555-0100,be@tailspintoys.com,Be
Female,Vera Kubatova,207,(212) 555-0101,1978-03-09 00:00:00,(212) 555-0100,vera@tailspintoys.com,Vera
Female,Diego Almeida,208,(212) 555-0101,1950-12-27 00:00:00,(212) 555-0100,diego@tailspintoys.com,Diego
Female,Rakesh Nishad,209,(505) 555-0101,1973-01-08 00:00:00,(505) 555-0100,rakesh@tailspintoys.com,Rakesh
Female,Huu Hoa,210,(505) 555-0101,1978-05-11 00:00:00,(505) 555-0100,huu@tailspintoys.com,Huu
Female,Sang Tran,211,(201) 555-0101,1993-04-07 00:00:00,(201) 555-0100,sang@tailspintoys.com,Sang
Female,Bela Nemeth,212,(201) 555-0101,1989-10-28 00:00:00,(201) 555-0100,bela@tailspintoys.com,Bela
Female,Eekalabya Bose,213,(787) 555-0101,1980-12-14 00:00:00,(787) 555-0100,eekalabya@tailspintoys.com,Eekalabya
Female,Margherita Bucco,214,(787) 555-0101,1966-08-24 00:00:00,(787) 555-0100,margherita@tailspintoys.com,Margherita
Female,Tommy Kilpi,215,(303) 555-0101,1964-10-23 00:00:00,(303) 555-0100,tommy@tailspintoys.com,Tommy
Female,Giri Bhamidipati,216,(303) 555-0101,1971-10-10 00:00:00,(303) 555-0100,giri@tailspintoys.com,Giri
Female,Andrea Ricci,217,(216) 555-0101,1969-05-18 00:00:00,(216) 555-0100,andrea@tailspintoys.com,Andrea
Female,Chung-Ho Han,218,(216) 555-0101,1992-10-31 00:00:00,(216) 555-0100,chung-ho@tailspintoys.com,Chung-Ho
Female,Isabell  Duperre,219,(212) 555-0101,1970-07-26 00:00:00,(212) 555-0100,isabell @tailspintoys.com,Isabell 
Female,Jasna Vujica,220,(212) 555-0101,1960-01-21 00:00:00,(212) 555-0100,jasna@tailspintoys.com,Jasna
Female,Amarendra Ankitham,221,(339) 555-0101,1969-12-28 00:00:00,(339) 555-0100,amarendra@tailspintoys.com,Amarendra
